Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
78,Sit Still Look Pretty,Daya,2016,joy,4.545454545454546,27.272727272727273,4.545454545454546,4.545454545454546,31.818181818181817,0.0,4.545454545454546,22.727272727272727
79,Wildest Dreams,Taylor Swift,2016,anger,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0,16.666666666666668,0.0,16.666666666666668
80,Middle,DJ Snake,2016,disgust,16.666666666666668,16.666666666666668,33.333333333333336,16.666666666666668,0.0,16.666666666666668,0.0,0.0
81,On My Mind,Ellie Goulding,2016,fear,14.285714285714286,7.142857142857143,21.428571428571427,28.571428571428573,7.142857142857143,14.285714285714286,0.0,7.142857142857143
82,Pop Style,Drake,2016,surprise,16.666666666666668,16.666666666666668,16.666666666666668,0.0,16.666666666666668,0.0,33.333333333333336,0.0
83,When We Were Young,Adele,2016,fear,0.0,14.285714285714286,0.0,28.571428571428573,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286
84,Hide Away,Daya,2016,anticipation,5.0,25.0,0.0,0.0,25.0,5.0,15.0,25.0
85,Lean On,Major Lazer,2016,anticipation,14.285714285714286,28.571428571428573,0.0,14.285714285714286,14.285714285714286,0.0,14.285714285714286,14.285714285714286
86,I Know What You Did Last Summer,Shawn Mendes,2016,anticipation,16.666666666666668,33.333333333333336,16.666666666666668,0.0,16.666666666666668,0.0,0.0,16.666666666666668
87,All the Way Up,Fat Joe Remy Ma,2016,anger,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0.0,14.285714285714286
88,Watch Me,Silentó,2016,anger,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Back to Sleep,Chris Brown,2016,joy,25.0,0.0,0.0,0.0,50.0,0.0,0.0,25.0
90,No Limit,Usher,2016,sadness,11.11111111111111,0.0,22.22222222222222,22.22222222222222,11.11111111111111,33.333333333333336,0.0,0.0
91,Cut It,O.T. Genasis,2016,surprise,7.142857142857143,14.285714285714286,7.142857142857143,0.0,14.285714285714286,0.0,28.571428571428573,28.571428571428573
92,Really Really,Kevin Gates,2016,joy,14.285714285714286,9.523809523809524,9.523809523809524,9.523809523809524,23.80952380952381,14.285714285714286,9.523809523809524,9.523809523809524
93,All In My Head (Flex),Fifth Harmony,2016,joy,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
94,Starving,Hailee Steinfeld,2016,anger,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0
95,Adventure of a Lifetime,Coldplay,2016,anticipation,0.0,25.0,12.5,12.5,12.5,12.5,12.5,12.5
96,Humble and Kind,Tim McGraw,2016,joy,11.11111111111111,22.22222222222222,0.0,0.0,33.333333333333336,0.0,11.11111111111111,22.22222222222222
97,Wicked,Future,2016,fear,13.333333333333334,13.333333333333334,6.666666666666667,33.333333333333336,6.666666666666667,6.666666666666667,13.333333333333334,6.666666666666667
98,Tiimmy Turner,Desiigner,2016,anger,16.666666666666668,16.666666666666668,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0
99,See You Again,Wiz Khalifa,2016,joy,0.0,25.0,0.0,0.0,33.333333333333336,0.0,16.666666666666668,25.0
100,Perfect,One Direction,2016,anticipation,0.0,25.0,0.0,8.333333333333334,25.0,16.666666666666668,0.0,25.0
1,Shape of You,Ed Sheeran,2017,joy,0.0,25.0,0.0,0.0,50.0,0.0,0.0,25.0
2,Despacito (Remix),Luis Fonsi,2017,anger,0,0,0,0,0,0,0,0
3,That's What I Like,Bruno Mars,2017,joy,0.0,10.0,0.0,0.0,60.0,0.0,20.0,10.0
4,Humble,Kendrick Lamar,2017,anger,42.857142857142854,0.0,28.571428571428573,14.285714285714286,0.0,14.285714285714286,0.0,0.0
5,Something Just Like This,The Chainsmokers,2017,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0
6,Bad and Boujee,Migos,2017,anger,17.391304347826086,13.043478260869565,13.043478260869565,8.695652173913043,13.043478260869565,13.043478260869565,13.043478260869565,8.695652173913043
7,Closer,The Chainsmokers,2017,trust,0.0,16.666666666666668,0.0,16.666666666666668,16.666666666666668,16.666666666666668,0.0,33.333333333333336
8,Body Like a Back Road,Sam Hunt,2017,anger,20.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0
9,Believer,Imagine Dragons,2017,fear,10.0,10.0,0.0,20.0,20.0,10.0,10.0,20.0
10,Congratulations,Post Malone,2017,anticipation,12.5,25.0,12.5,0.0,25.0,0.0,12.5,12.5
11,Say You Won't Let Go,James Arthur,2017,joy,5.2631578947368425,10.526315789473685,5.2631578947368425,5.2631578947368425,26.31578947368421,10.526315789473685,15.789473684210526,21.05263157894737
12,I'm the One,DJ Khaled,2017,trust,8.333333333333334,16.666666666666668,8.333333333333334,8.333333333333334,16.666666666666668,0.0,16.666666666666668,25.0
13,XO Tour Llif3,Lil Uzi Vert,2017,trust,12.5,25.0,0.0,0.0,12.5,0.0,12.5,37.5
14,Mask Off,Future,2017,anger,22.22222222222222,0.0,11.11111111111111,22.22222222222222,11.11111111111111,22.22222222222222,0.0,11.11111111111111
15,Unforgettable,French Montana,2017,anticipation,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0
16,24K Magic,Bruno Mars,2017,fear,0.0,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336
17,Stay,Zedd,2017,anticipation,0.0,33.333333333333336,0.0,6.666666666666667,20.0,0.0,26.666666666666668,13.333333333333334
18,Wild Thoughts,DJ Khaled,2017,surprise,0.0,12.5,0.0,0.0,25.0,0.0,50.0,12.5
19,Black Beatles,Rae Sremmurd,2017,trust,0.0,9.090909090909092,9.090909090909092,0.0,18.181818181818183,18.181818181818183,9.090909090909092,36.36363636363637
20,Starboy,The Weeknd,2017,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,33.333333333333336
21,Location,Khalid,2017,anticipation,0.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0
22,Attention,Charlie Puth,2017,anticipation,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0
23,There's Nothing Holdin' Me Back,Shawn Mendes,2017,joy,0.0,0.0,0.0,25.0,50.0,25.0,0.0,0.0
24,Bodak Yellow,Cardi B,2017,anger,24.0,12.0,16.0,12.0,8.0,12.0,8.0,8.0
25,Redbone,Childish Gambino,2017,disgust,20.0,20.0,40.0,0.0,20.0,0.0,0.0,0.0
26,I Don't Wanna Live Forever,Zayn,2017,joy,16.666666666666668,0.0,16.666666666666668,16.666666666666668,33.333333333333336,16.666666666666668,0.0,0.0
27,It Ain't Me,Kygo,2017,anticipation,0.0,16.666666666666668,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668
28,iSpy,Kyle,2017,anger,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0.0,0.0
29,Issues,Julia Michaels,2017,joy,8.333333333333334,16.666666666666668,8.333333333333334,0.0,41.666666666666664,0.0,0.0,25.0
30,Scars to Your Beautiful,Alessia Cara,2017,joy,0.0,12.5,0.0,12.5,25.0,25.0,12.5,12.5
31,1-800-273-8255,Logic,2017,anger,20.0,20.0,0.0,0.0,20.0,0.0,20.0,20.0
32,Slow Hands,Niall Horan,2017,joy,12.5,12.5,12.5,12.5,25.0,0.0,12.5,12.5
33,Love on the Brain,Rihanna,2017,joy,0.0,20.0,0.0,10.0,40.0,0.0,10.0,20.0
34,I Feel It Coming,The Weeknd,2017,joy,10.0,20.0,10.0,10.0,30.0,10.0,0.0,10.0
35,Bounce Back,Big Sean,2017,anticipation,12.5,25.0,0.0,12.5,12.5,0.0,12.5,25.0
36,Strip That Down,Liam Payne,2017,joy,0.0,0.0,0.0,0.0,42.857142857142854,28.571428571428573,0.0,28.571428571428573
37,Fake Love,Drake,2017,joy,16.666666666666668,0.0,16.666666666666668,0.0,33.333333333333336,0.0,0.0,33.333333333333336
38,Don't Wanna Know,Maroon 5,2017,anticipation,12.5,25.0,25.0,0.0,25.0,0.0,12.5,0.0
39,Look What You Made Me Do,Taylor Swift,2017,anger,18.181818181818183,18.181818181818183,18.181818181818183,18.181818181818183,9.090909090909092,9.090909090909092,0.0,9.090909090909092
40,Castle on the Hill,Ed Sheeran,2017,anticipation,0.0,42.857142857142854,0.0,0.0,14.285714285714286,0.0,14.285714285714286,28.571428571428573
41,Bad Things,Machine Gun Kelly,2017,fear,14.285714285714286,0.0,14.285714285714286,28.571428571428573,0.0,28.571428571428573,0.0,14.285714285714286
42,Paris,The Chainsmokers,2017,fear,11.11111111111111,11.11111111111111,0.0,22.22222222222222,11.11111111111111,22.22222222222222,22.22222222222222,0.0
43,Side to Side,Ariana Grande,2017,disgust,11.11111111111111,11.11111111111111,22.22222222222222,11.11111111111111,11.11111111111111,11.11111111111111,22.22222222222222,0.0
44,Rockabye,Clean Bandit,2017,joy,0.0,10.0,0.0,0.0,60.0,0.0,10.0,20.0
45,Feel It Still,Portugal. The Man,2017,fear,8.333333333333334,8.333333333333334,0.0,33.333333333333336,16.666666666666668,25.0,8.333333333333334,0.0
46,Let Me Love You,DJ Snake,2017,joy,6.666666666666667,13.333333333333334,6.666666666666667,6.666666666666667,33.333333333333336,6.666666666666667,13.333333333333334,13.333333333333334
47,Sorry Not Sorry,Demi Lovato,2017,anger,20.0,10.0,5.0,20.0,20.0,10.0,10.0,5.0
48,Bank Account,21 Savage,2017,anger,22.727272727272727,9.090909090909092,18.181818181818183,18.181818181818183,4.545454545454546,9.090909090909092,4.545454545454546,13.636363636363637
49,Can't Stop the Feeling!,Justin Timberlake,2017,joy,8.823529411764707,11.764705882352942,5.882352941176471,5.882352941176471,26.470588235294116,5.882352941176471,14.705882352941176,20.58823529411765
50,Mi Gente,J Balvin,2017,anger,0,0,0,0,0,0,0,0
51,Thunder,Imagine Dragons,2017,surprise,12.5,12.5,0.0,12.5,12.5,0.0,25.0,25.0
52,T-Shirt,Migos,2017,anticipation,12.5,25.0,6.25,6.25,25.0,0.0,18.75,6.25
53,Rake It Up,Yo Gotti,2017,anger,18.75,12.5,12.5,12.5,12.5,12.5,12.5,6.25
54,Mercy,Shawn Mendes,2017,joy,0.0,16.666666666666668,0.0,0.0,50.0,0.0,16.666666666666668,16.666666666666668
55,Tunnel Vision,Kodak Black,2017,joy,12.5,12.5,12.5,0.0,37.5,0.0,12.5,12.5
56,Rockstar,Post Malone,2017,fear,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0
57,In Case You Didn't Know,Brett Young,2017,anticipation,0.0,40.0,0.0,20.0,20.0,20.0,0.0,0.0
58,Heathens,Twenty One Pilots,2017,disgust,12.5,12.5,25.0,12.5,0.0,12.5,12.5,12.5
59,Now or Never,Halsey,2017,joy,0.0,33.333333333333336,0.0,0.0,66.66666666666667,0.0,0.0,0.0
60,Caroline,Aminé,2017,fear,17.24137931034483,3.4482758620689653,17.24137931034483,20.689655172413794,13.793103448275861,13.793103448275861,3.4482758620689653,10.344827586206897
61,Rolex,Ayo,2017,joy,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
62,DNA,Kendrick Lamar,2017,joy,5.0,25.0,0.0,5.0,30.0,0.0,5.0,30.0
63,Juju on That Beat (TZ Anthem),Zay Hilfigerrr,2017,joy,12.5,0.0,0.0,12.5,37.5,12.5,0.0,25.0
64,Swang,Rae Sremmurd,2017,sadness,13.333333333333334,13.333333333333334,6.666666666666667,13.333333333333334,13.333333333333334,20.0,13.333333333333334,6.666666666666667
65,Passionfruit,Drake,2017,anger,25.0,25.0,12.5,12.5,12.5,0.0,0.0,12.5
66,Loyalty,Kendrick Lamar,2017,fear,17.647058823529413,0.0,17.647058823529413,23.529411764705884,0.0,17.647058823529413,5.882352941176471,17.647058823529413
67,Praying,Kesha,2017,trust,7.6923076923076925,15.384615384615385,7.6923076923076925,15.384615384615385,15.384615384615385,7.6923076923076925,0.0,30.76923076923077
68,Goosebumps,Travis Scott,2017,anticipation,0.0,28.571428571428573,0.0,14.285714285714286,14.285714285714286,0.0,14.285714285714286,28.571428571428573
69,Cold,Maroon 5,2017,anticipation,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Broccoli,DRAM,2017,disgust,20.0,0.0,40.0,0.0,20.0,0.0,0.0,20.0
71,Slide,Calvin Harris,2017,trust,0.0,15.384615384615385,7.6923076923076925,0.0,23.076923076923077,7.6923076923076925,15.384615384615385,30.76923076923077
72,What Ifs,Kane Brown,2017,anticipation,0.0,25.0,0.0,0.0,25.0,0.0,25.0,25.0
73,Chained to the Rhythm,Katy Perry,2017,joy,0.0,25.0,0.0,0.0,50.0,0.0,0.0,25.0
74,Feels,Calvin Harris,2017,anticipation,0.0,37.5,0.0,12.5,25.0,0.0,12.5,12.5
75,All Time Low,Jon Bellion,2017,anger,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,7.6923076923076925,0.0,15.384615384615385
76,Hurricane,Luke Combs,2017,anticipation,0.0,42.857142857142854,0.0,14.285714285714286,14.285714285714286,0.0,14.285714285714286,14.285714285714286
77,Too Good at Goodbyes,Sam Smith,2017,disgust,0.0,14.285714285714286,28.571428571428573,14.285714285714286,14.285714285714286,14.285714285714286,14.285714285714286,0.0
78,Young Dumb & Broke,Khalid,2017,joy,5.882352941176471,29.41176470588235,5.882352941176471,5.882352941176471,35.294117647058826,5.882352941176471,11.764705882352942,0.0
79,Magnolia,Playboi Carti,2017,anger,17.647058823529413,17.647058823529413,5.882352941176471,17.647058823529413,17.647058823529413,5.882352941176471,5.882352941176471,11.764705882352942
80,Love Galore,SZA,2017,joy,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,33.333333333333336,8.333333333333334,8.333333333333334,16.666666666666668
81,Drowning,A Boogie wit da Hoodie,2017,anger,20.0,0.0,20.0,20.0,0.0,20.0,0.0,20.0
82,Starving,Hailee Steinfeld,2017,anger,20.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0
83,Both,Gucci Mane,2017,anticipation,0.0,25.0,0.0,0.0,25.0,0.0,25.0,25.0
84,What About Us,Pink,2017,joy,11.11111111111111,0.0,11.11111111111111,11.11111111111111,22.22222222222222,22.22222222222222,11.11111111111111,11.11111111111111
85,Swalla,Jason Derulo,2017,anger,18.181818181818183,9.090909090909092,18.181818181818183,18.181818181818183,9.090909090909092,18.181818181818183,9.090909090909092,0.0
86,Slippery,Migos,2017,fear,18.181818181818183,0.0,18.181818181818183,27.272727272727273,0.0,18.181818181818183,9.090909090909092,9.090909090909092
87,Sign of the Times,Harry Styles,2017,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,33.333333333333336,0.0,0.0
88,Water Under the Bridge,Adele,2017,anticipation,0.0,25.0,0.0,25.0,25.0,25.0,0.0,0.0
89,Malibu,Miley Cyrus,2017,joy,0.0,20.0,0.0,0.0,40.0,0.0,20.0,20.0
90,Down,Marian Hill,2017,anticipation,0.0,25.0,0.0,0.0,25.0,25.0,0.0,25.0
91,No Promises,Cheat Codes,2017,joy,0.0,0.0,0.0,0.0,66.66666666666667,33.333333333333336,0.0,0.0
92,Treat You Better,Shawn Mendes,2017,joy,0.0,14.285714285714286,0.0,0.0,42.857142857142854,0.0,0.0,42.857142857142854
93,I Get the Bag,Gucci Mane,2017,anticipation,11.11111111111111,22.22222222222222,0.0,22.22222222222222,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111
94,Small Town Boy,Dustin Lynch,2017,disgust,20.0,0.0,60.0,0.0,20.0,0.0,0.0,0.0
95,Everyday We Lit,YFN Lucci,2017,disgust,20.0,0.0,40.0,20.0,0.0,20.0,0.0,0.0
96,Havana,Camila Cabello,2017,anger,0,0,0,0,0,0,0,0
97,What Lovers Do,Maroon 5,2017,joy,0.0,14.285714285714286,14.285714285714286,0.0,42.857142857142854,0.0,14.285714285714286,14.285714285714286
98,Do Re Mi,Blackbear,2017,anger,33.333333333333336,0.0,0.0,33.333333333333336,0.0,33.333333333333336,0.0,0.0
99,Look at Me!,XXXTentacion,2017,anger,22.22222222222222,11.11111111111111,22.22222222222222,11.11111111111111,11.11111111111111,11.11111111111111,0.0,11.11111111111111
100,The Fighter,Keith Urban,2017,joy,0.0,16.666666666666668,0.0,16.666666666666668,41.666666666666664,8.333333333333334,8.333333333333334,8.333333333333334
1,God's Plan,Drake,2018,anticipation,15.384615384615385,23.076923076923077,7.6923076923076925,23.076923076923077,7.6923076923076925,15.384615384615385,0.0,7.6923076923076925
2,Perfect,Ed Sheeran,2018,joy,0.0,25.0,0.0,0.0,41.666666666666664,8.333333333333334,0.0,25.0
3,Meant to Be,Bebe Rexha,2018,anger,20.0,20.0,20.0,0.0,20.0,10.0,0.0,10.0
4,Havana,Camila Cabello,2018,anger,0,0,0,0,0,0,0,0
5,Rockstar,Post Malone,2018,fear,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0
6,Psycho,Post Malone,2018,anger,33.333333333333336,0.0,33.333333333333336,0.0,0.0,0.0,0.0,33.333333333333336
7,I Like It,Cardi B Bad Bunny,2018,anger,25.0,0.0,18.75,25.0,12.5,18.75,0.0,0.0
8,The Middle,Zedd Maren Morris,2018,joy,14.285714285714286,14.285714285714286,14.285714285714286,0.0,28.571428571428573,0.0,14.285714285714286,14.285714285714286
