Rank,Song,Artist,Year,Topic Rank,Single Rank,Position Rank,Multipartite Rank
1,Love Yourself,Justin Bieber,2016,baby;much;way;wrong;times;phone;girl;movin;anyone;song;heart;everyone;goodness;better;mama;job;opinion;vulnerable;fool;clubs,'cause;only;way;goodness;baby;much;time;small;own;girl;heart;nothin';movin;everyone;mama;fool;name;low;opinion;friends,times;parade;goodness;clubs;name;'cause;heart;girl;way;baby;love;movin;song;anyone;only;mama;everyone;phone;fool;time,baby;much;way;wrong;times;phone;girl;movin;anyone;song;heart;everyone;goodness;better;mama;job;opinion;vulnerable;fool;clubs
2,Sorry,Justin Bieber,2016,sorry;middle;boy;nah;hands;fuck;good;face;hell;becky;good;high;suck;deuces;hallway;balls;note;eyes;night;tear,good;good;sorry;good;sorry;hell;balls;middle;hands;fucking;back;sorry;nah;fuck;deuces;boy;boppers;hallway;note;alright,sorry;hell;nah;middle;hell;balls;boy;headed;club;good;watch;fuck;hands;deuces;good;today;good;cups;suck;face,sorry;middle;boy;hands;fuck;nah;face;high;good;hell;deuces;suck;sorry;balls;becky;good;toast;enough;hallway;tear
3,One Dance,Drake,2016,hennessy;hold;hand;higher;dance;time;style;baby;nobody;friends;waist;pretty;wine;guidance;streets;safe;ends;oti;much;silence,more;long;waist;higher;time;oti;style;style;much;hand;hold;way;dance;baby;hennessy;pretty;control;slow;ends;guidance,style;front;baby;style;more;higher;way;long;time;waist;hold;oti;hand;dance;guidance;much;hennessy;streets;pretty;friends,hennessy;dance;hand;hold;higher;time;style;long;baby;waist;nobody;friends;streets;safe;pretty;guidance;style;wine;ends;oti
4,Work,Rihanna,2016,nuh;meh;something;hurt;sorry;hurt;nuh;heart;learn;turn;beg;face;sleeve;decoration;righteous;keys;patience;wrong;baby;nothing,mmmmm;work;work;dirt;turn;work;hurt;mmmmm;sorry;nicest;nuh;rollin;nuh;one;nuh;hurt;many;mmmmm;heart;dreams,work;mmmmm;hurt;mmmmm;hurt;nuh;nicest;learn;nuh;nuh;ready;mi;meh;ner;nothing;sorry;rollin;heart;something;dreams,nuh;meh;hurt;hurt;something;sorry;nuh;heart;rollin;learn;emotions;turn;desert;face;beg;sleeve;righteous;decoration;time;keys
5,Stressed Out,Twenty One Pilots,2016,time;pretend;good;momma;name;blurryface;wish;money;wake;laughin;face;better;outer;rocket;throw;tree;latter;student;stone;order,same;good;other;tree;better;better;pretend;certain;face;better;pretend;student;rocket;outer;time;name;young;laughin;wish;money,better;better;good;chords;one;order;time;momma;other;wish;name;tree;pretend;blurryface;pretend;same;same;rocket;certain;face,time;pretend;good;momma;name;blurryface;wish;money;wake;better;laughin;face;outer;rocket;one;throw;tree;latter;student;order
6,Panda,Desiigner,2016,panda;shit;killas;grammy;fanta;oscar;broads;atlanta;dope;scammers;choppa;randy;panty;phantom;macho;bar;bank;licks;stuff;phantom,panda;panda;panda;hammers;bando;black;phantom;panda;hammers;panda;don;m;panda;x6;montana;versace;fanta;phantom;lavish;grammy,phantom;hammers;panda;panda;x6;montana;fanta;versace;lavish;shit;bar;shit;phantom;phantom;long;atlanta;ayo;scammers;danny;grammy,panda;shit;killas;grammy;oscar;fanta;broads;atlanta;dope;choppa;panty;scammers;randy;phantom;macho;bar;bank;licks;stuff;danny
7,Hello,Adele,2016,sorry;everything;time;least;outside;ooh;heart;free;younger;anymore;nothing;feet;town;world;difference;miles;secret;california;much;typical,other;much;times;sorry;everything;world;ooh;difference;secret;nothing;town;least;outside;free;anymore;feet;miles;heart;younger;time,other;much;everything;times;ooh;time;years;world;outside;difference;heart;anymore;miles;feet;town;nothing;secret;california,sorry;everything;time;least;outside;ooh;heart;free;younger;anymore;nothing;feet;town;world;difference;miles;secret;california;much;typical
8,Don't Let Me Down,The Chainsmokers,2016,mind;side;head;miracle;nobody;wall;name;crashing;time;ooh;say,r;miracle;mind;side;time;head;wall;crashing;nobody;name;ooh;o;say;d,miracle;crashing;wall;name;mind;head;r;time;side;nobody;ooh;d;say;o,mind;side;head;miracle;nobody;wall;name;crashing;time;ooh;say
9,Can't Stop the Feeling!,Justin Timberlake,2016,feeling;body;dance;dance;got;hot;feeling;good;pocket;nobody;sunshine;ceiling;feet;things;zone;lights;everything;room;way;eyes,dance;feeling;dance;good;dance;feeling;feeling;good;body;body;hot;electric;ceiling;something;zone;pocket;sunshine;got;everything;lights,dance;dance;feeling;good;feeling;dance;good;body;electric;body;hot;bones;got;ceiling;pocket;sunshine;feet;city;zone;blood,feeling;body;dance;dance;got;hot;feeling;good;pocket;feet;nobody;sunshine;ceiling;things;zone;lights;everything;dance;room;way
10,Closer,The Chainsmokers,2016,older;tattoo;shoulder;bite;sheets;corner;mattress;roommate;boulder;rover;backseat;broke;car;baby;years;city;heart;hotel;song;death,hotel;car;broke;older;sheets;heart;roommate;city;friends;okay;mattress;bite;corner;shoulder;years;rover;song;blink;boulder;baby,friends;issue;hotel;broke;car;city;sheets;heart;years;roommate;bite;mattress;corner;shoulder;rover;baby;boulder;backseat;calls;tattoo,older;tattoo;shoulder;bite;sheets;corner;mattress;roommate;boulder;rover;backseat;broke;car;baby;years;city;heart;hotel;song;death
11,Cheap Thrills,Sia,2016,fun;baby;long;dollar;money;dance;got;cash;beat;til;radio;saturday;turn;friday;nails;high;hair;make,fun;dollar;dance;friday;long;baby;high;til;got;money;saturday;radio;turn;nails;make;hair;beat;cash;la,friday;dance;fun;dollar;turn;til;radio;got;saturday;baby;high;hair;make;money;nails;beat;cash;la,fun;baby;long;dollar;money;dance;got;cash;beat;til;radio;saturday;turn;friday;nails;high;hair;make
12,7 Years,Lukas Graham,2016,years;life;children;stories;big;lonely;daddy;songs;cold;lot;boys;momma;glory;cause;failure;friends;man;liquor;happy;morning,years;big;smallest;life;smoking;stories;world;daddy;better;boys;lonely;morning;songs;steady;stories;cold;children;'bout;glory;quicker,years;big;world;life;momma;daddy;smoking;morning;steady;friends;songs;story;'bout;stories;limits;children;better;smallest;go;liquor,years;life;stories;lonely;big;children;daddy;songs;story;world;glory;boys;cold;lot;momma;cause;failure;friends;liquor;smoking
13,Needed Me,Rihanna,2016,love;baby;know;little;rollin;fuck;hit;inner;savage;fun;faded;kickin;run;good;bad;nigga;real;bet;way;oooh,fuck;love;faded;pound;little;little;shit;inner;hit;fuck;bad;good;bet;savage;baby;know;low;rollin;fun;kickin,mustard;faded;beat;fuck;love;fuck;way;pound;shit;low;white;savage;bet;inner;hit;bad;kickin;fun;rollin;baby,love;faded;shit;baby;good;know;way;little;low;fuck;kickin;hit;inner;fun;rollin;savage;run;nigga;bad;fuck
14,My House,Flo Rida,2016,house;welcome;baby;control;music;loud;homerun;champagne;home;cash;touchdown;spot;crib;pad;happy;land;morning;duck;knock;sad,house;touchdown;something;homerun;welcome;champagne;baby;champagne;sad;cash;floor;control;land;time;home;knock;happy;loud;music;clothes,house;champagne;welcome;champagne;cold;baby;knock;floor;door;control;night;hear;tonight;music;clothes;'cause;time;celebrate;spot;homerun,house;welcome;baby;control;music;loud;homerun;champagne;home;cash;touchdown;spot;knock;crib;pad;happy;hear;land;door;morning
15,I Took a Pill in Ibiza,Mike Posner,2016,sad;stage;pop;alone;roller;high;girls;bus;work;guitar;name;ibiza;loose;fans;reminder;pride;excuse;home;avicii;old,sad;real;pop;real;sports;roller;years;old;people;manicured;alone;home;dollars;name;cool;reminder;work;loose;sun;avicii,avicii;pill;sad;ibiza;years;sports;something;real;roller;la;dollars;pop;stage;girls;shoes;home;old;eye;people;bus,sad;stage;pop;alone;roller;girls;high;bus;reminder;name;work;old;loose;excuse;ibiza;avicii;guitar;pride;home;fans
16,Work from Home,Fifth Harmony,2016,home;body;night;work;baby;boss;explanation;harder;pic;bed;make;picture;vacay;ocean;give;overtime;promotion;sittin;hours;get,work;work;new;work;worried;body;vacay;nights;home;nada;night;foreign;promotion;picture;pic;harder;make;ground;hands;explanation,worried;work;nada;body;home;night;make;pic;picture;explanation;baby;nights;hours;boss;get;vacay;new;promotion;bed;ocean,home;body;night;work;baby;boss;explanation;pic;harder;picture;make;bed;nights;vacay;ocean;give;sittin;promotion;get;overtime
17,This Is What You Came For,Calvin Harris,2016,time;lightning;baby;oooh;everybody;oooh;place;game;way,lightning;yeah;oooh;nothing;baby;time;oooh;everybody;place;way;game,lightning;oooh;yeah;time;baby;everybody;oooh;game;place;nothing;way,time;lightning;baby;oooh;everybody;oooh;yeah;place;game;way
18,Cake by the Ocean,DNCE,2016,cake;ocean;baby;minds;fucking;real;tiptoe;masterpiece;sweet;blind;diddy;naomi;serious;ocean;hopin;funfetti;dry;goddamn;candy;delicious,sweet;ocean;dry;real;night;tiptoe;waste;naomi;ocean;serious;baby;fucking;life;minds;cake;time;feet;own;girl;masterpiece,serious;real;tiptoe;waste;girl;naomi;dry;funeral;time;ocean;baby;round;life;red;minds;feet;masterpiece;cake;delicious;diddy,cake;ocean;baby;masterpiece;minds;fucking;tiptoe;real;sweet;blind;serious;diddy;naomi;time;hopin;life;funeral;ocean;feet;dry
19,Me Myself & I,G-Eazy,2016,night;cause;good;anything;cold;soul;time;music;life;heart;fire;keepin;ape;money;hand;satisfied;swimmin;alive;beat;solo,ape;fuck;time;good;everyone;whole;shit;anything;stella;music;night;saint;soul;home;keepin;cold;heart;lonely;cause;money,cause;night;anything;whole;life;soul;music;solo;time;hand;fire;stella;heart;tree;keepin;saint;ape;modesty;beat;ferrari,night;cause;cold;anything;good;soul;time;music;keepin;life;heart;fire;money;ape;hand;satisfied;beat;alive;everyone;swimmin
20,Ride,Twenty One Pilots,2016,ride;time;bullet;peace;hard;people;sun;fun;pieces;everybody;mind;list;woah;room;much;end;easy;enemies;tonight;questions,many;bullet;hard;peace;time;people;ride;room;sun;real;questions;fun;much;list;tonight;mind;pieces;end;everybody;easy,peace;sun;pieces;mind;time;ride;end;fun;many;enemies;bullet;people;room;list;woah;everybody;tonight;man;questions,ride;time;bullet;peace;hard;people;sun;everybody;fun;pieces;mind;list;room;many;woah;much;end;easy;enemies;tonight
21,Heathens,Twenty One Pilots,2016,heathens;slow;friends;abuse;half;people;sudden;wait;room;certain;door;guns;newcomers;brains;day;hand;trust;outsiders;psychopath;intentions,hand;weird;sudden;certain;abuse;half;trust;heathens;friends;people;slow;brains;newcomers;door;freakshow;guns;rooms;outsiders;room;psychopath,friends;heathens;sudden;abuse;half;wait;weird;people;room;hand;rooms;certain;outsiders;trust;brains;day;guns;newcomers;door;psychopath,heathens;slow;friends;abuse;half;people;sudden;room;wait;door;certain;guns;brains;day;newcomers;hand;trust;outsiders;psychopath;intentions
22,Pillowtalk,Zayn,2016,place;bed;war;paradise;dirty;reckless;raw;pure;fears;tears;day;body;neighbours;pain;pleasure;close;high;pillow;paradise;dark,war;paradise;war;high;day;pleasure;paradise;day;close;reckless;bed;place;thin;ally;pain;body;mellow;slow;hard;pillow,high;climb;board;war;pleasure;day;close;pain;paradise;body;day;thin;bed;place;reckless;ally;tears;fears;pillow;neighbours,place;bed;war;day;paradise;raw;dirty;reckless;pure;fears;day;tears;body;neighbours;pain;pleasure;close;high;paradise;pillow
23,Stitches,Shawn Mendes,2016,thread;stitches;kisses;head;dead;wind;feeling;help;knees;words;deeper;sore;alive;knife;bitter;lover;got;pain;someone;life,stitches;bitter;dead;head;lover;kisses;thread;stitches;feeling;someone;words;sore;knife;deeper;touch;pain;alive;wind;got;own,stitches;words;dead;someone;head;knife;lover;kisses;stitches;thread;one;feeling;life;wind;head;bitter;red;got;help;knees,thread;kisses;stitches;head;dead;wind;help;feeling;knees;words;deeper;alive;sore;bitter;lover;knife;got;pain;someone;head
24,Hotline Bling,Drake,2016,thing;hotline;love;cell;someone;girl;city;nasty;gettin;backwoods;days;passport;home;one;dance;reputation;bendin;pages;champagne;nobody,cell;dance;wrong;hotline;more;passport;good;someone;doing;love;thing;home;girl;city;girls;nasty;champagne;gettin;zone;backwoods,cell;late;love;hotline;thing;dance;more;city;passport;wrong;good;someone;doing;champagne;girls;girl;everybody;days;home;reputation,thing;hotline;love;cell;someone;city;girl;nasty;gettin;backwoods;days;passport;dance;reputation;home;champagne;pages;good;one;everybody
25,Cold Water,Major Lazer,2016,lifeline;different;time;cold;patient;low;feelin;high;everybody;deep;alone;someone;boat;soul,old;cold;lifeline;deep;different;alone;time;low;feelin;high;everybody;own;someone;boat;patient;soul,everybody;deep;cold;lifeline;different;old;time;boat;someone;soul,lifeline;different;time;cold;patient;low;feelin;high;everybody;deep;alone;someone;boat;soul
26,Send My Love (To Your New Lover),Adele,2016,ready;kids;last;new;ghosts;better;mmm;free;big;body;hands;hot;none;strong;way;guitar,new;last;mmm;love;big;big;kids;mmm;hot;better;ready;hands;none;ghosts;free;body;guitar;strong;way,new;none;last;mmm;guitar;love;mmm;big;big;kids;hands;body;hot;ghosts;way,ready;last;kids;new;ghosts;love;better;mmm;big;free;big;body;hands;none;hot;guitar;way;mmm;strong
27,Roses,The Chainsmokers,2016,ahh;hideaway;back;old;little;couch;night;time;fire;heart;bones;drunk;beautiful;love;stone;hands;good;favorite;gold;higher,old;little;hands;good;favorite;back;hideaway;fire;stone;heart;drunk;beautiful;couch;night;love;typical;higher;gold;daydream;paradise,takin;hands;fire;love;heart;stone;favorite;old;gold;good;little;back;daydream;hideaway;couch;night;ahh;paradise;time;bones,ahh;hideaway;back;old;little;couch;night;time;fire;heart;bones;drunk;beautiful;love;stone;hands;good;favorite;gold;higher
28,Treat You Better,Shawn Mendes,2016,time;fine;gentleman;girl;alone;hand;sign;baby;wrong;loving;second;everything;different;one;face;right,fine;time;promise;gentleman;wrong;'cause;baby;one;face;everything;hand;sign;different;girl;alone;loving;second;right,time;gentleman;wrong;face;one;girl;fine;promise;baby;'cause;everything;sign;hand;loving,time;gentleman;girl;fine;hand;alone;sign;promise;baby;wrong;loving;second;everything;different;one;face;right
29,Too Good,Drake,2016,good;last;yuh;love;cock;expectations;gyal;patience;things;deh;everything;high;wallet;handle;time;realization;days;friendship;benefit;fact,pay;last;yuh;late;yuh;regular;pum;pocket;free;good;somebody;things;gyal;only;mi;cock;time;everything;expectations;patience,last;late;yuh;things;yuh;regular;only;free;days;expectations;patience;pocket;time;friends;gyal;need;mi;love;cock;friendship,good;last;yuh;love;cock;expectations;patience;things;gyal;high;time;deh;everything;pum;handle;wallet;realization;yuh;days;friendship
30,Low Life,Future,2016,high;whole;reppin;nigga;bitch;representin;gettin;wifeys;tags;money;wave;fuckin;bout;baby;poor;club;ritz;pakistan;time;broads,low;low;low;low;low;rep;low;low;west;high;sniper;whole;high;side;life;sixth;high;nigga;phone;plane,high;high;low;low;sixth;plane;ice;wide;low;whole;life;side;nigga;reason;nigga;bitch;reppin;north;nigga;baby,high;gettin;high;bitch;whole;reppin;nigga;representin;wifeys;high;low;money;poor;bout;ritz;eviction;fuckin;pakistan;club;tags
31,What Do You Mean?,Justin Bieber,2016,love;day;night;wanna;mind;left;outta;head;heart;beat;tryna;overprotective;happy;point;indecisive;start,outta;tryna;overprotective;day;wanna;heart;beat;indecisive;mind;night;love;left;happy;start;point;head,outta;head;wanna;day;tryna;heart;beat;mind;love;night;left;point;start,love;day;night;wanna;mind;left;outta;head;heart;beat;tryna;overprotective;happy;point;indecisive;start
32,The Hills,The Weeknd,2016,real;past;hills;eyes;friend;babe;side;mine;simple;feelin;drugs;moment;live;motherfuckers;decaf;info;relapse;residential;comin;lies,babe;only;doin';info;simple;live;lies;friend;low;residential;decaf;past;business;moment;simple;house;drugs;real;lies;road,doin';business;road;man;only;info;friend;residential;house;photos;friends;comin;simple;side;mine;live;lies;hills;eyes;moment,real;past;hills;eyes;friend;babe;side;mine;simple;friends;feelin;drugs;moment;live;motherfuckers;low;info;business;house;decaf
33,Just Like Fire,Pink,2016,way;colorful;one;madness;fire;day;world;girl;magic;ceiling;fire;clowns;liars;higher;mmmm;game;weather;wire;people;time,fire;fire;different;same;fire;fire;mmm;colorful;way;higher;fire;thing;one;free;madness;day;world;magic;ease;impossible,runnin;time;fire;same;mmm;different;fire;colorful;way;fire;higher;fire;one;day;madness;free;wire;world;clowns;liars,way;colorful;one;madness;fire;day;world;girl;magic;ceiling;fire;clowns;liars;mmmm;higher;game;weather;people;wire;different
34,Broccoli,DRAM,2016,shit;nigga;mama;pussy;broccoli;party;throwin;real;ayy;ayy;finna;tellin;middle;bows;rollin;skip;cut;years;couple;epic,real;nigga;good;ayy;baby;golden;nigga;party;spanish;niggas;skip;years;rapper;party;shit;broccoli;pussy;ayy;niggas;cheese,ayy;ayy;real;nigga;tellin;shit;nigga;baby;columbine;mama;dirty;niggas;skip;pussy;spanish;broccoli;party;own;throwin;broccoli,nigga;shit;mama;pussy;broccoli;party;throwin;real;ayy;ayy;finna;tellin;middle;skip;bows;rollin;cut;years;baby;couple
35,Don't,Bryson Tiller,2016,feelin;girl;baby;world;throwed;cold;better;games;ride;somebody;space;propane;thing;lanes;skrr;drop;thigh;hand;guy;spliff,throwed;young;fire;old;world;good;better;nother;h;nigga;cold;girl;baby;feelin;world;high;thigh;special;ride;skrr,better;nother;good;fire;girl;world;throwed;young;old;h;nigga;logic;baby;cold;feelin;world;somebody;special;nigga;thigh,feelin;girl;baby;world;better;throwed;games;world;cold;ride;somebody;space;cold;pen;playin;hand;skrr;nigga;way;penetrate
36,Dangerous Woman,Ariana Grande,2016,skin;things;business;wanna;girls;kind;flavor;open;moment;mind;taste;nature;giver;danger;taker;control;decision;movin;way;limits,somethin';dangerous;'bout;somethin';boy;somethin';'bout;'bout;business;skin;new;bad;god;taker;taste;limits;'cause;moment;movin;giver,somethin';somethin';'bout;boy;somethin';'bout;'bout;business;limits;decision;god;permission;skin;bad;witness;wanna;things;girls;moment;mind,skin;things;business;wanna;girls;god;witness;kind;limits;moment;decision;open;mind;control;flavor;permission;taste;nature;giver;danger
37,Jumpman,Drake,2016,dj;jumpman;jumpman;robitussin;jump;country;comin;bitches;mutombo;flexin;bunch;big;direction;boys;wild;much;production;introduction;tnt;gettin,jumpman;jumpman;jumpman;introduction;jumpman;cup;nobu;tempo;jumpman;dj;own;chi;woo;chicken;whoa;robitussin;l;money;much;safe,jumpman;jumpman;jumpman;young;dj;own;halloween;woo;hundred;phantom;french;production;safe;whoa;chicken;chanel;money;jump;country;fries,dj;woo;jumpman;jumpman;robitussin;tempo;country;ginobili;comin;left;jump;usher;bitches;way;dance;lobster;wanna;many;weeks;chicken
38,I Hate U I Love U,Gnash,2016,feelings;love;nights;right;heart;wedding;shit;arm;friends;nobody;trust;good;sweaters;wrong;time;sand;kiss;alarms;everyone;wanna,alarms;wedding;feelings;lonely;only;only;front;fucking;love;heart;distance;kiss;shit;right;wrong;time;arm;lips;wanna;good,kiss;wanna;time;lips;end;front;alarms;feelings;wedding;lonely;shit;love;heart;sand;sweaters;nights;right;fucking;only;only,feelings;nights;love;right;sweaters;heart;wedding;shit;arm;sand;friends;nobody;trust;time;front;good;kiss;wrong;alarms;wanna
39,Here,Alessia Cara,2016,people;girl;friends;boy;music;clouds;marijuana;ready;corner;refrigerator;sorry;sad;room;way;uninterested;haters;talkin;listenin;kitchen;message,girl;anti;little;big;last;girl;beanie;talkin;people;planet;boy;corner;uninterested;sorry;refrigerator;tv;haters;way;ready;marijuana,last;listenin;girl;business;girl;friends;people;anti;corner;boy;talkin;clouds;marijuana;home;room;party;refrigerator;way;music;haters,people;friends;girl;boy;music;clouds;marijuana;ready;corner;kitchen;sorry;room;uninterested;refrigerator;planet;message;sad;manners;listenin;girl
40,Same Old Love,Selena Gomez,2016,sick;love;body;enough;pieces;hard;kind;heart;times;peace;knees;mind;cause;tonight;least;things,same;love;sick;cause;mind;tonight;time;times;least;hard;pieces;knees;peace;kind;body;heart;enough;things,same;love;times;things;body;kind;pieces;knees;heart;peace;time;tonight;mind;cause,sick;love;body;enough;pieces;hard;kind;heart;times;peace;knees;mind;cause;tonight;least;things
41,Controlla,Drake,2016,controlla;gyal;di;man;nothing;things;girls;dem;waste;shawty;old;murda;whine;inna;zagga;jamaica;yah;summa;bawl;tear,summa;controlla;di;many;canada;inna;dem;new;di;old;front;gyal;last;jamaica;bawl;strength;nothing;money;god;man,many;front;controlla;god;yiy;di;plans;canada;dem;inna;gyal;di;things;nothing;money;bawl;jamaica;new;old;waste,controlla;gyal;di;nothing;things;girls;man;old;waste;shawty;inna;di;tear;dem;strength;bawl;garments;money;somebody;whine
42,Like I'm Gonna Lose You,Meghan Trainor,2016,time;breath;whisper;smoke;everything;gold;scene;side;love;movie;eye;relief;truth;minutes;broken;silver;regret;blink;tomorrow;cause,broken;relief;close;most;regret;love;smoke;whisper;movie;scene;moonlight;breath;side;tears;everything;eye;gold;minutes;truth;blink,broken;scene;movie;gold;silver;close;moonlight;relief;tears;side;breath;love;regret;tomorrow;whisper;smoke;time;minutes;eye;everything,time;breath;whisper;smoke;everything;gold;scene;side;love;movie;eye;relief;truth;minutes;broken;silver;regret;blink;tomorrow;cause
43,One Call Away,Charlie Puth,2016,call;day;nothing;alone;weak;baby;strong;arms;friend;hope;chance;smile;free,c'mon;day;call;love;c'mon;nothing;friend;smile;'cause;while;free;arms;weak;baby;hope;strong;alone;chance,day;c'mon;call;nothing;love;c'mon;friend;baby;arms;chance;while;'cause;smile;hope,call;day;nothing;alone;weak;baby;strong;arms;friend;hope;chance;smile;free
44,Let It Go,James Bay,2016,holding;evening;breeze;everything;teeth;tryna;problem;edge;claws;floor;earth;time;right;force;shows;hill;nervous;reflections;doors;funny,evening;holding;tryna;nervous;something;clothes;right;breeze;delusion;earth;hill;problem;'cause;everything;shows;edge;claws;teeth;floor;heads,evening;nervous;clothes;shows;loads;holding;something;floor;teeth;claws;delusion;breeze;edge;doors;heads;everything;tryna;reflections;knees;time,holding;evening;edge;shows;breeze;everything;nervous;tryna;problem;teeth;loads;drunk;earth;time;floor;delusion;claws;right;force;heads
45,No,Meghan Trainor,2016,sign;name;number;nah;untouchable;lips;lick;girl;boy;ladies;hips;man;zone;beautiful;blah;get;original;word;priority;game,other;personal;untouchable;game;sweet;man;name;word;lips;lick;beautiful;original;boy;number;sign;girl;get;priority;blah;zone,friends;name;sign;number;nah;boy;ladies;girl;lick;lips;other;personal;game;hips;word;man;zone;blah;priority;get,sign;name;number;nah;untouchable;lips;lick;girl;boy;ladies;hips;man;zone;beautiful;blah;original;get;word;priority;game
46,Never Forget You,Zara Larsson,2016,day;til;side;everything;time;thing;clear;sure;heart;feelin;connection;funny;die;fight;world;mind;something;low;happy,day;something;somethin';everything;time;til;clear;more;low;happy;side;thing;sure;heart;somethin';'cause;feelin;connection;fight;funny,day;time;everything;til;side;'cause;thing;heart;feelin;fight;die;connection;somethin';something;world;things;mind,day;til;side;everything;time;thing;clear;sure;heart;feelin;connection;funny;die;fight;world;mind;something;low;happy
47,Let Me Love You,DJ Snake,2016,nah;days;heaven;edge;darkest;good;heartbreak;ride;miracle;hell;knife;baby;say;miles;mirrors;waitin;dream;asleep;wheel;rude,somethin';baby;miracle;good;dream;edge;say;darkest;heaven;days;good;miracle;wheel;asleep;rude;mirrors;waitin;knife;ride;hell,beautiful;beautiful;dream;somethin';baby;edge;miracle;mirrors;miracle;say;waitin;days;heaven;hell;ride;knife;wheel;nah;heartbreak;miles,nah;days;heaven;darkest;edge;good;heartbreak;ride;miracle;hell;knife;say;baby;miles;mirrors;waitin;good;dream;rude;asleep
48,Don't Mind,Kent Jones,2016,bonjour;french;konnichiwa;sak;hola;time;man;candid;okay;show;lesson;eyes;girl;asian;weed;cali;tape;high;arizona;regina,c;don;c;haitian;sak;high;candid;bonjour;hola;hola;african;n'ap;time;man;t;baby;konnichiwa;kansas;asian;eyes,c;hola;c;hola;don;konnichiwa;t;sak;bonjour;show;n'ap;french;english;man;time;african;lesson;haitian;baby;candid,hola;bonjour;french;konnichiwa;sak;hola;lesson;show;time;man;candid;okay;sho;eyes;girl;rodeo;asian;african;cali;weed
49,H.O.L.Y.,Florida Georgia Line,2016,holy;high;touchin;day;ecstasy;angel;first;hope;kind;church;grace;losin;heaven;savin;veins;hands;healin;darkest;baby;fire,holy;holy;lovin';high;river;touchin;darkest;brightest;babe;sky;alone;hope;losin;first;heaven;winter;sun;darkness;rain;ecstasy,sky;sun;winter;lovin';rain;darkness;day;losin;hope;baby;first;touchin;brightest;river;darkest;babe;ecstasy;heaven;angel;demons,holy;high;day;touchin;ecstasy;angel;hope;losin;first;kind;church;grace;heaven;baby;savin;alone;rain;veins;darkness;hands
50,We Don't Talk Anymore,Charlie Puth,2016,way;love;game;tight;dress;kind;brain;shame;tonight;afraid;wrong;eyes;door;good;somebody;time;one,good;afraid;tight;tonight;dress;kind;shame;brain;game;love;time;'cause;wrong;door;way;eyes;somebody;one,tonight;shame;love;game;brain;kind;dress;'cause;time;way;good;eyes;door;one;somebody,way;love;game;tight;dress;kind;brain;shame;tonight;afraid;wrong;eyes;door;good;somebody;time;one
51,Into You,Ariana Grande,2016,baby;little;little;body;move;secret;everyone;temperature;gon;boy;close;deep;many;dice;time;game;line;control;edge;light,little;little;little;little;right;little;baby;body;'cause;many;control;edge;close;deep;temperature;game;secret;dice;line;boy,little;little;little;right;baby;body;'cause;game;temperature;many;dice;line;move;boy;gon;everyone;edge;control;light;time,baby;little;little;body;move;little;secret;everyone;little;temperature;gon;boy;close;many;deep;dice;time;game;control;line
52,Gold,Kiiara,2016,roof;gold;teeth;basement;fire;money;sorry;tastes;party;pavement;feelings;brother;bite;good,basement;basement;roof;s;gold;good;sorry;teeth;pavement;don;brother;feelings;fire;money;tastes;bite;party,roof;s;gold;sorry;fire;teeth;don;basement;money;basement;tastes;good;pavement;brother;feelings;bite;party,roof;gold;teeth;basement;fire;money;sorry;brother;tastes;party;pavement;basement;feelings;bite;good
53,Exchange,Bryson Tiller,2016,girl;next;exchange;wanna;grip;college;god;guess;different;strange;player;problems;ass;lexington;ready;whip;nothing;tin;louisville;man,rank;different;next;cynical;nah;time;young;ready;lowkey;gram;lexington;true;sir;player;girl;tin;real;wanna;different;things,different;next;last;time;player;fuck;sign;feelings;games;favor;things;real;rank;sir;ready;cynical;true;nah;young;dank,next;girl;exchange;different;problems;fuck;wanna;god;grip;college;player;guess;strange;ready;sign;lexington;ass;whip;nothing;tin
54,679,Fetty Wap,2016,yeaaah;remy;ayy;fast;slow;one;girlfriend;zoo;fine;zoovier;robins;ass;press;monty;lot;glock;city;time;singing;high,ayy;ayy;zoo;zoovier;yeaaah;walkthrough;remy;baby;baby;baby;zoovier;rari;remy;slow;something;more;ayy;fast;fine;high,ayy;yeaaah;zoovier;walkthrough;baby;baby;baby;remy;zoovier;slow;rari;ayy;fast;remy;whole;monty;one;bands;zoo;money,yeaaah;ayy;remy;fine;fast;slow;robins;one;glock;baby;ayy;ass;fine;girlfriend;batman;monty;bands;benjamins;zoo;pocket
55,Oui,Jeremih,2016,ahh;baby;time;ahh;warm;climate;day;grown;fine;everything;suit;chest;birthday;night;valentine;love;blind;du;mind;best,du;i;t;grown;time;mind;dollar;baby;best;day;mine;suit;warm;birthday;blind;love;everything;'bout;night;fine,ahh;time;t;grown;ahh;mind;baby;suit;mine;everything;love;day;dollar;'bout;better;birthday;climate;best;night;chest,ahh;baby;time;ahh;warm;climate;day;grown;fine;everything;suit;chest;birthday;night;valentine;love;blind;du;mind;best
56,Hands to Myself,Selena Gomez,2016,hands;uppers;downs;love;juice;metaphorical;nothing;cause;good;people;like;next;doctors;drop;taste;single,metaphorical;downs;uppers;hands;juice;other;love;nothing;single;doctors;taste;drop;good;cause;next;people;like,hands;nothing;metaphorical;downs;uppers;juice;doctors;love;taste;drop;cause;single;people,hands;uppers;downs;love;juice;metaphorical;nothing;cause;good;people;like;next;doctors;drop;taste;single
